947,3510,295,2197,8255,6985
955,3575,2522,1658,121,4996
974,6139,2206,1742,3843,5038
979,457,1687,3429,2851,13091
979,6627,2964,2045,1103,9353
983,3990,2207,1988,3216,6420
983,2470,3719,1569,4190,7006
985,735,2249,1810,1407,5111
987,571,2035,2160,958,5706
995,5558,1389,2404,2637,10358
995,2698,4110,1803,472,6516
1009,3492,1841,2175,5217,10246
1016,3420,2919,1821,425,4829
1019,473,2024,2007,422,5523
1019,2662,368,2907,2050,11829
1019,5771,4264,1309,6618,5033
1022,4801,2831,1662,6374,5869
1024,2547,3425,2068,1592,7100
1028,1418,220,2190,1406,5469
1028,3550,2289,2220,1922,3886
1036,1701,3219,2039,1239,7011
1043,4097,3108,2171,2617,9411
1045,4897,2875,1902,4354,6113
1051,3671,4119,1564,4508,6709
1051,4201,4180,2637,12299,10770
1056,3103,1453,2310,388,6155
1056,5349,3997,1891,4887,7207
1059,5524,1891,1913,525,5547
1066,3300,112,2663,1672,5166
1068,3378,3146,2041,602,5642
1077,3239,2667,1920,3081,7725
1078,6389,1111,2443,1289,5593
1079,4769,4184,1619,4632,5985
1080,3223,2974,2827,10259,4487
1081,827,124,2126,602,5938
1086,4009,703,2116,6145,7138
1089,1366,3253,3468,4849,10804
1089,4789,4292,1968,8255,6985
1094,209,1001,2163,1181,5425
1094,6072,4310,2116,1391,5511
1096,2078,4219,1563,2744,5813
1100,3324,1869,2319,3887,12171
1100,467,3830,2082,3219,7929
1108,3822,4003,1855,1010,5051
1122,5541,3825,1988,8255,6985
1126,5225,4367,2812,1453,3463
1128,2025,4191,2229,4421,6811
1130,6250,3804,2619,765,5294
1131,5628,4244,2058,7954,7988
1139,5709,2002,2603,4119,12316
1149,2391,3589,2546,8255,6985
1153,200,4430,1879,2899,6852
1153,709,2187,2641,1409,7101
1157,3824,1276,3328,2375,6477
1160,3192,842,2037,391,4984
1164,1051,2796,2513,456,6715
1168,2352,3534,2339,3643,9837
1173,6503,3162,2132,5138,7856
1173,5429,4086,2101,4321,7218
1177,555,3824,1872,488,5870
1181,4072,1335,2604,2433,6674
1189,2480,1343,2163,4947,7458
1206,5826,365,2822,1832,5614
1208,4459,2104,2628,565,5837
1211,3567,1152,2846,3279,5950
1215,6190,4244,3149,4182,6739
1216,6272,3926,2484,233,7245
1218,575,1570,2706,3417,5652
1220,4048,2003,1846,2542,5171
1227,456,1249,2787,369,6266
1232,398,4340,1862,3324,5157
1238,2454,4030,2656,4274,5868
1242,2065,3942,2030,4033,6625
1246,489,1316,2899,11362,8043
1248,3901,3726,2254,914,6154
1255,3152,2905,2223,38,5940
1258,5502,1349,2770,119,6012
1261,5845,4426,2091,4153,6698
1273,982,4233,2121,1574,6525
1280,5952,3718,2395,915,8609
1284,2579,162,2757,536,6994
1284,2716,3517,1998,119,5425
1292,2040,3226,2228,488,6724
1292,6052,3874,2526,1342,7206
1293,5893,3714,2298,709,6933
1297,5752,4243,2611,1545,7486
1300,3228,811,2925,1477,10566
1305,2659,2958,1973,3277,6393
1320,3586,1657,3172,1957,6358
1328,4064,3978,3341,6953,6046
1332,3319,662,2436,3679,6698
1341,798,428,2203,97,6139
1348,4051,2003,2286,5626,7631
1366,1745,3028,2602,2635,6641
1371,665,3072,2356,1380,6940
1371,257,4304,1931,487,6466
1380,6131,2927,2342,3594,6095
1390,2479,4303,1854,1516,5520
1392,354,1648,2726,4910,6746
1405,2656,429,2481,8255,6985
1434,5578,1391,2680,2423,11424
1444,5549,3587,2774,2851,13091
1460,353,1646,2391,14,6052
1474,254,4303,2397,4421,6811
1474,2313,4133,2506,1681,8047
1483,3655,2488,2726,160,6884
1484,3983,2189,3057,3279,5950
1486,3146,4079,2756,3221,5162
1494,3668,4130,2191,803,6087
1494,5157,3668,2856,1087,8208
1496,2295,4109,2746,622,6638
1499,5949,1538,2506,4609,5656
1503,3474,2797,3141,487,6723
1516,1561,1385,3326,1467,5478
1520,811,3651,3190,6821,8228
1522,2432,3700,3099,8206,14152
1524,1485,4447,3270,3679,11352
1531,2701,4135,3346,1026,7467
1548,2878,1616,2556,8248,6612
1554,2343,1366,3278,2945,7711
1562,1445,193,3575,3088,6285
1564,3701,1420,2934,7061,12811
1570,3372,1706,2486,4047,6642
1570,1116,4328,2374,4345,7221
1574,1330,4227,2554,2988,10995
1580,3225,2630,2989,1935,5959
1583,1677,3035,2462,881,6141
1587,5146,1630,3088,289,6021
1588,6229,3889,2293,2960,5788
1589,6048,3893,2101,7861,4697
1593,4176,3107,2573,4842,11152
1597,321,2687,2426,19,5775
1601,1430,2972,2443,6163,6614
1609,5160,1621,3485,3757,10594
